Title,Release Year,Score,Director(s),Critics Consensus,Casting
Independence Day,1996,69,Roland Emmerich,"The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers.","Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell"
Bullitt,1968,98,Peter Yates,Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon"
Wanted,2008,71,Timur Bekmambetov,"Wanted is stylish, energetic popcorn fare with witty performances from Angelina Jolie (playing an expert assassin), James McAvoy, and Morgan Freeman that help to distract from its absurdly over-the-top plot.","James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp"
Superman: The Movie,1978,88,Richard Donner,"Superman: The Movie deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.","Christopher Reeve, Gene Hackman, Marlon Brando, Margot Kidder"
Ronin,1998,69,John Frankenheimer,"Ronin earns comparisons to The French Connection with strong action, dynamic road chase scenes, and solid performances.","Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård"
They Live,1988,87,John Carpenter,"A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter.","Roddy Piper, Keith David, Meg Foster, George ""Buck"" Flower"
Cliffhanger,1993,68,Renny Harlin,"While it can't escape comparisons to the movies it borrows from, Cliffhanger is a tense, action-packed thriller and a showcase for the talents that made Sylvester Stallone a star.","Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner"
Marvel's the Avengers,2012,91,Joss Whedon,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Hot Fuzz,2007,91,Edgar Wright,The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine"
The Warriors,1979,88,Walter Hill,"As violent as it is stylish, The Warriors is a thrilling piece of pulp filmmaking.","Michael Beck, James Remar, Dorsey Wright, Brian Tyler"
Starship Troopers,1997,72,Paul Verhoeven,A fun movie...if you can accept the excessive gore and wooden acting.,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey"
Elite Squad 2,2010,91,José Padilha,"Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force.","Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held"
Point Break,1991,68,Kathryn Bigelow,"Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive.","Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty"
The Long Kiss Goodnight,1996,67,Renny Harlin,"Smart, sharp-witted, and fueled by enjoyably over-the-top action, The Long Kiss Goodnight makes up in impact what it lacks in consistent aim.","Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko"
The Guest,2014,92,Adam Wingard,"Boasting enough intelligence to bolster its darkly violent thrills, The Guest offers another treat for genre fans from director Adam Wingard.","Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley"
Taken,2008,60,Pierre Morel,"Taken is undeniably fun with slick action, but is largely a brainless exercise.","Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser"
300,2007,61,Zack Snyder,"A simple-minded but visually exciting experience, full of blood, violence, and ready-made movie quotes.","Gerard Butler, Lena Headey, David Wenham, Dominic West"
True Lies,1994,72,James Cameron,"If it doesn't reach the heights of director James Cameron's and star Arnold Schwarzenegger's previous collaborations, True Lies still packs enough action and humor into its sometimes absurd plot to entertain.","Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton"
Demolition Man,1993,66,Marco Brambilla,"A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Sylvester Stallone, Wesley Snipes, and Sandra Bullock.","Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne"
Hardcore Henry,2015,51,Ilya Naishuller,"Hardcore Henry seems poised to reinvent the action flick, but without a story or characters worth caring about, its first-person gimmick quickly loses its thrill.","Sharlto Copley, Danila Kozlovsky, Haley Bennett, Darya Charusha"
Police Story,1985,93,Jackie Chan,"Blending brilliant physical comedy with thrillingly choreographed set pieces, Police Story makes a persuasive case for Jackie Chan as one of the all-time genre greats.","Jackie Chan, Brigitte Lin, Maggie Cheung, Bill Tung"
Brotherhood of the Wolf,2001,74,Christophe Gans,"Brotherhood of the Wolf mixes its genres with little logic, but the end result is wildly entertaining.","Samuel Le Bihan, Mark Dacascos, Émilie Dequenne, Vincent Cassel"
Kingsman: The Secret Service,2015,75,Matthew Vaughn,"Stylish, subversive, and above all fun, Kingsman: The Secret Service finds director Matthew Vaughn sending up the spy genre with gleeful abandon.","Colin Firth, Michael Caine, Taron Egerton, Samuel L. Jackson"
The Fifth Element,1997,71,Luc Besson,"Visually inventive and gleefully over the top, Luc Besson's The Fifth Element is a fantastic piece of pop sci-fi that never takes itself too seriously.","Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich"
Big Trouble in Little China,1986,73,John Carpenter,"Brimming with energy and packed with humor, Big Trouble in Little China distills kung fu B-movies as affectionately as it subverts them.","Kurt Russell, Kim Cattrall, Dennis Dun, James Hong"
Atomic Blonde,2017,79,David Leitch,Atomic Blonde gets enough mileage out of its stylish action sequences -- and ever-magnetic star -- to make up for a narrative that's somewhat less hard-hitting than its protagonist.,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman"
Rumble in the Bronx,1995,81,Stanley Tong,An entertaining Jackie Chan stunt-fest in which the impressive action sequences overcome the low production value and by-the-numbers plot.,"Jackie Chan, Anita Mui, Bill Tung, Françoise Yip"
District B13,2004,81,Pierre Morel,"A nonstop thrill ride, District B13's dizzying action sequences more than make up for any expository flaws.","Cyril Raffaelli, David Belle, Tony D'Amario, Bibi Naceri"
Beverly Hills Cop,1984,82,Martin Brest,"The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny.","Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher"
Ong-Bak: The Thai Warrior,2003,85,Prachya Pinkaew,"While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li.","Tony Jaa, Phetthai Vongkumlao, Pumwaree Yodkamol, Suchao Pongwilai"
Collateral,2004,86,Michael Mann,"Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller.","Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo"
Iron Monkey,1993,91,Woo-Ping Yuen,"Iron Monkey may not have the poetic lyricism of Crouching Tiger, it makes up for it in fun and energy.","Yu Rong-Guang, Donnie Yen, Sze-Man Tsang, Jean Wang"
Escape From New York,1981,86,John Carpenter,"Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness.","Kurt Russell, Ernest Borgnine, Adrienne Barbeau, Lee Van Cleef"
Battle Royale,2000,90,Kinji Fukasaku,"Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes.","Tatsuya Fujiwara, Aki Maeda, Taro Yamamoto, Masanobu Andô"
Spider-Man 2,2004,93,Sam Raimi,"Boasting an entertaining villain and deeper emotional focus, Spider-Man 2 is a nimble sequel that improves upon the original.","Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina"
13 Assassins,2010,95,Takashi Miike,"Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.","Kôji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki"
Full Contact,1992,89,Ringo Lam,No consensus yet.,"Chow Yun-Fat, Simon Yam, Bonnie Fu, Wong Chow-Sang"
Indiana Jones and the Last Crusade,1989,84,Steven Spielberg,"Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery.","Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody"
Kung Fu Hustle,2004,90,Stephen Chow,"Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect.","Stephen Chow, Yuen Wah, Yuen Qiu, Siu-Lung Leung"
A Better Tomorrow,1986,94,John Woo,No consensus yet.,"Ti Lung, Chow Yun-Fat, Leslie Cheung, Emily Chu"
Iron Man,2008,94,Jon Favreau,"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.","Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges"
The Night Comes for Us,2018,92,Timo Tjahjanto,"A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch.","Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang"
Logan,2017,93,James Mangold,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.","Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant"
007: Goldfinger,1964,99,Guy Hamilton,"Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred."") and a wide range of gadgets that would become the series' trademark.","Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton"
Assault on Precinct 13,1976,96,John Carpenter,"Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best.","Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West"
Wonder Woman,2017,93,Patty Jenkins,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.","Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright"
The Chinese Connection,1972,83,Lo Wei,No consensus yet.,"Bruce Lee, Nora Miao, James Tien, Robert Baker"
Captain America: The Winter Soldier,2014,90,Anthony Russo,"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.","Chris Evans, Scarlett Johansson, Samuel L. Jackson, Sebastian Stan"
Oldboy,2003,82,Park Chan-wook,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge.","Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han"
The French Connection,1971,97,William Friedkin,"Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production.","Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco"
Furious 7,2015,81,James Wan,"Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one.","Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez"
Nikita,1990,89,Luc Besson,A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.,"Anne Parillaud, Jean-Hugues Anglade, Tchéky Karyo, Jeanne Moreau"
Supercop,1992,93,Stanley Tong,"Blending hand-to-hand combat with breathtaking stunts and slapstick comedy, Supercop reminds us why Jackie Chan is one of the world's great entertainers.","Jackie Chan, Michelle Yeoh, Maggie Cheung, Kenneth Tsang"
Dirty Harry,1971,89,Don Siegel,"As tough and taciturn as its no-nonsense hero, Dirty Harry delivers a deceptively layered message without sacrificing an ounce of its solid action impact.","Clint Eastwood, Harry Guardino, Reni Santoni, John Larch"
Edge of Tomorrow,2014,91,Doug Liman,"Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller.","Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton"
X2,2003,85,Bryan Singer,"Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general.","Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry"
The Fugitive,1993,96,Andrew Davis,"Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best.","Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore"
Black Panther,2018,96,Ryan Coogler,Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
Inception,2010,87,Christopher Nolan,"Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually.","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy"
Braveheart,1995,76,Mel Gibson,"Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition.","Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack"
Minority Report,2002,89,Steven Spielberg,"Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller.","Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow"
Avengers: Endgame,2019,94,Anthony Russo,"Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga.","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Dredd,2012,80,Pete Travis,"Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit.","Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris"
The Bourne Identity,2002,84,Doug Liman,"Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some.","Matt Damon, Franka Potente, Chris Cooper, Clive Owen"
Ip Man,2008,86,Wilson Yip,"At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years.","Donnie Yen, Simon Yam, Siu-wong Fan, Ka Tung Lam"
Face/Off,1997,93,John Woo,"John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence.","John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola"
To Live and Die in L.A.,1985,88,William Friedkin,"With coke fiends, car chases, and Wang Chung galore, To Live and Die in L.A. is perhaps the ultimate '80s action/thriller.","William Petersen, Willem Dafoe, John Pankow, Debra Feuer"
The Dark Knight,2008,94,Christopher Nolan,"Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
Mission: Impossible - Ghost Protocol,2011,93,Brad Bird,"Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works.","Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton"
Fast Five,2011,77,Justin Lin,"Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise.","Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson"
Lethal Weapon,1987,81,Richard Donner,"The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s.","Mel Gibson, Danny Glover, Gary Busey, Mitch Ryan"
The Rock,1996,68,Michael Bay,"For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain.","Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn"
RoboCop,1987,92,Paul Verhoeven,"While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture.","Peter Weller, Nancy Allen, Ronny Cox, Dan O'Herlihy"
John Wick: Chapter 2,2017,89,Chad Stahelski,"John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun.","Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio"
Casino Royale,2006,94,Martin Campbell,"Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007.","Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
Baby Driver,2017,92,Edgar Wright,"Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills.","Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal"
Fist of Legend,1994,100,Gordon Chan,No consensus yet.,"Jet Li, Siu-hou Chin, Shinobu Nakayama, Billy Chow Bei-Lei"
The Killer,1989,95,John Woo,The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.,"Chow Yun-Fat, Danny Lee, Sally Yeh, Kenneth Tsang"
The Raid 2,2014,83,Gareth Evans,"Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor.","Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara"
Enter the Dragon,1973,88,Robert Clouse,"Badass to the max, Enter the Dragon is the ultimate kung-fu movie and a fitting (if untimely) Bruce Lee swan song.","Bruce Lee, John Saxon, Jim Kelly, Ahna Capri"
Commando,1985,68,Mark L. Lester,"The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners.","Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells"
First Blood,1982,86,Ted Kotcheff,"Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills.","Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso"
Mission: Impossible - Rogue Nation,2015,94,Christopher McQuarrie,Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson"
The Terminator,1984,100,James Cameron,"With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks.","Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Gladiator,2000,80,Ridley Scott,"While not everyone will be entertained by Gladiator's glum revenge story, Russell Crowe thunderously wins the crowd with a star-making turn that provides Ridley Scott's opulent resurrection of Rome its bruised heart.","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Kill Bill: Vol. 1,2003,85,Quentin Tarantino,Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen"
The Professional,1994,76,Luc Besson,Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Speed,1994,95,Jan de Bont,"A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock.","Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton"
Drunken Master II,1994,85,Chia-Liang Liu,Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.,"Jackie Chan, Ti Lung, Anita Mui, Chia-Liang Liu"
John Wick,2014,86,Chad Stahelski,"Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise.","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe"
"Crouching Tiger, Hidden Dragon",2000,98,Ang Lee,"The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama.","Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chang Chen"
Predator,1987,64,John McTiernan,"Predator: Part sci-fi, part horror, part action -- all muscle.","Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo"
The Bourne Ultimatum,2007,92,Paul Greengrass,"The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy.","Matt Damon, Julia Stiles, Joan Allen, David Strathairn"
Total Recall,1990,81,Paul Verhoeven,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks.","Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox"
Mad Max 2: The Road Warrior,1981,93,George Miller,"The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber.","Mel Gibson, Bruce Spence, Emil Minty, Vernon Wells"
